,회사명,업종
155,사조산업,어로 어업
156,사조씨푸드,수산물 가공 및 저장 처리업
157,사조오양,수산물 가공 및 저장 처리업
158,삼부토건,토목 건설업
159,삼성물산,기타 전문 도매업
160,삼성생명,보험업
161,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
162,삼성엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
163,삼성중공업,선박 및 보트 건조업
164,삼성증권,금융 지원 서비스업
165,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업"
166,삼성카드,기타 금융업
167,삼성화재해상보험,보험업
168,삼양홀딩스,기타 금융업
169,삼영무역,기타 전문 도매업
170,삼호개발,기반조성 및 시설물 축조관련 전문공사업
171,상상인,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
172,상상인증권,금융 지원 서비스업
173,샘표,기타 금융업
174,서부T&D,일반 및 생활 숙박시설 운영업
175,서연,기타 금융업
176,서원,금속 주조업
177,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
178,세기상사,연료 소매업
179,세방,도로 화물 운송업
180,세아제강지주,기타 금융업
181,세우글로벌,기타 전문 도매업
182,세이브존I&C,종합 소매업
183,세진중공업,선박 및 보트 건조업
184,셀리버리,자연과학 및 공학 연구개발업
185,셀트리온헬스케어,기타 전문 도매업
186,솔브레인홀딩스,회사 본부 및 경영 컨설팅 서비스업
187,스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업"
188,신라교역,어로 어업
189,신성통상,기타 전문 도매업
190,신세계,종합 소매업
191,신세계I&C,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
192,신세계건설,건물 건설업
193,신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매업"
194,신세계푸드,음식점업
195,신송홀딩스,산업용 농·축산물 및 동·식물 도매업
196,신영증권,금융 지원 서비스업
197,신일전자,기계장비 및 관련 물품 도매업
198,신풍제지,기타 전문 도매업
199,신한지주,기타 금융업
200,신흥,기계장비 및 관련 물품 도매업
201,쎌마테라퓨틱스,기타 사업지원 서비스업
202,아난티,일반 및 생활 숙박시설 운영업
203,아세아,회사 본부 및 경영 컨설팅 서비스업
204,아센디오,"영화, 비디오물, 방송프로그램 제작 및 배급업"
205,아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
206,아시아나항공,항공 여객 운송업
207,아이마켓코리아,상품 종합 도매업
208,아이에이치큐,"영화, 비디오물, 방송프로그램 제작 및 배급업"
209,아주IB투자,기타 금융업
210,아프리카TV,소프트웨어 개발 및 공급업
211,안랩,소프트웨어 개발 및 공급업
212,안트로젠,기타 전문 도매업
213,알서포트,소프트웨어 개발 및 공급업
214,알테오젠,자연과학 및 공학 연구개발업
215,에스엠,오디오물 출판 및 원판 녹음업
216,에스원,"경비, 경호 및 탐정업"
217,에스제이엠홀딩스,자동차 부품 및 내장품 판매업
218,에스티큐브,기계장비 및 관련 물품 도매업
219,에쓰씨엔지니어링,토목 건설업
220,에어부산,항공 여객 운송업
221,에이치엘비,선박 및 보트 건조업
222,에이치엘비생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업"
223,에코마케팅,광고업
224,엔씨소프트,소프트웨어 개발 및 공급업
225,엔에이치엔,소프트웨어 개발 및 공급업
226,엔케이물산,기타 전문 도매업
227,영원무역,상품 종합 도매업
228,영원무역홀딩스,기타 금융업
229,예스코홀딩스,회사 본부 및 경영 컨설팅 서비스업
230,오리온홀딩스,기타 금융업
231,오리콤,광고업
232,와이즈버즈,광고업
233,와이지엔터테인먼트,오디오물 출판 및 원판 녹음업
234,용평리조트,일반 및 생활 숙박시설 운영업
235,우리금융지주,기타 금융업
236,우리기술투자,기타 금융업
237,우리들휴브레인,기계장비 및 관련 물품 도매업
238,우리종금,기타 금융업
239,우진아이엔에스,건물설비 설치 공사업
240,웅진,회사 본부 및 경영 컨설팅 서비스업
241,웅진씽크빅,초등 교육기관
242,웰바이오텍,상품 중개업
243,웹젠,소프트웨어 개발 및 공급업
244,위메이드,소프트웨어 개발 및 공급업
245,윌비스,생활용품 도매업
246,유니퀘스트,기계장비 및 관련 물품 도매업
247,유비쿼스홀딩스,기타 금융업
248,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
249,유안타증권,금융 지원 서비스업
250,유엔젤,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
251,유진증권,금융 지원 서비스업
252,유화증권,금융 지원 서비스업
253,이노션,광고업
254,이니텍,소프트웨어 개발 및 공급업
255,이마트,종합 소매업
256,이베스트투자증권,금융 지원 서비스업
257,이스타코,부동산 임대 및 공급업
258,이아이디,기타 전문 도매업
259,이화산업,기타 전문 도매업
260,인바이오젠,기계장비 및 관련 물품 도매업
261,인선이엔티,폐기물 처리업
262,인스코비,전기 통신업
263,인크로스,광고업
264,인터지스,도로 화물 운송업
265,일성건설,토목 건설업
266,일신석재,"건축자재, 철물 및 난방장치 도매업"
267,일진홀딩스,기타 금융업
268,자이에스앤디,부동산 임대 및 공급업
269,제넥신,자연과학 및 공학 연구개발업
270,제이콘텐트리,"영화, 비디오물, 방송프로그램 제작 및 배급업"
271,제일기획,광고업
272,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업
273,제주은행,은행 및 저축기관
274,제주항공,항공 여객 운송업
275,지니뮤직,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
276,지역난방공사,"증기, 냉·온수 및 공기조절 공급업"
277,지투알,회사 본부 및 경영 컨설팅 서비스업
278,지트리비앤티,기타 전문 도매업
279,진도,기타 전문 도매업
280,진에어,항공 여객 운송업
281,진흥기업,토목 건설업
282,천일고속,육상 여객 운송업
