,회사명,업종
580,한국전자금융,기타 사업지원 서비스업
581,한국전자인증,소프트웨어 개발 및 공급업
582,한국정보공학,기타 전문 도매업
583,한국정보통신,전기 통신업
584,한국제10호스팩,금융 지원 서비스업
585,한국코퍼레이션,기타 사업지원 서비스업
586,한국테크놀로지,가전제품 및 정보통신장비 소매업
587,한글과컴퓨터,소프트웨어 개발 및 공급업
588,한네트,전기 통신업
589,한라IMS,선박 및 보트 건조업
590,한빛소프트,소프트웨어 개발 및 공급업
591,한솔인티큐브,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
592,한양이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
593,한일네트웍스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
594,한창바이오텍,기타 전문 도매업
595,한컴위드,소프트웨어 개발 및 공급업
596,한화플러스제2호스팩,금융 지원 서비스업
597,해성산업,기타 금융업
598,핸디소프트,소프트웨어 개발 및 공급업
599,헝셩그룹,기타 금융업
600,헥토이노베이션,기타 정보 서비스업
601,헥토파이낸셜,기타 정보 서비스업
602,현대이지웰,소프트웨어 개발 및 공급업
603,홈센타홀딩스,기타 전문 도매업
604,휴네시온,소프트웨어 개발 및 공급업
605,휴맥스홀딩스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
606,휴먼엔,"해체, 선별 및 원료 재생업"
607,흥구석유,기타 전문 도매업
608,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업"
