,회사명,업종
143,네오위즈,소프트웨어 개발 및 공급업
144,네오위즈홀딩스,소프트웨어 개발 및 공급업
145,네오이뮨텍,자연과학 및 공학 연구개발업
146,네이블,소프트웨어 개발 및 공급업
147,네패스아크,"그외 기타 전문, 과학 및 기술 서비스업"
148,넥슨게임즈,소프트웨어 개발 및 공급업
149,넵튠,소프트웨어 개발 및 공급업
150,노랑풍선,여행사 및 기타 여행보조 서비스업
151,노터스,자연과학 및 공학 연구개발업
152,녹원씨엔아이,인쇄 및 인쇄관련 산업
153,누리플렉스,소프트웨어 개발 및 공급업
154,뉴지랩파마,기계장비 및 관련 물품 도매업
155,다날,소프트웨어 개발 및 공급업
156,다올인베스트먼트,기타 금융업
157,대동금속,금속 주조업
158,대명소노시즌,상품 종합 도매업
159,대명에너지,건물 건설업
160,대성창투,신탁업 및 집합투자업
161,대신밸런스제10호스팩,금융 지원 서비스업
162,대신밸런스제11호스팩,금융 지원 서비스업
163,대신밸런스제12호스팩,금융 지원 서비스업
164,대신정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
165,대양전기공업,선박 및 보트 건조업
166,대원,건물 건설업
167,대원미디어,기타 전문 도매업
168,대한과학,기계장비 및 관련 물품 도매업
169,대한그린파워,전기업
170,더블유에스아이,생활용품 도매업
171,데브시스터즈,소프트웨어 개발 및 공급업
172,데이타솔루션,기계장비 및 관련 물품 도매업
173,덱스터,"영화, 비디오물, 방송프로그램 제작 및 배급업"
174,도이치모터스,자동차 판매업
175,동방선기,선박 및 보트 건조업
176,동신건설,토목 건설업
177,동우팜투테이블,"도축, 육류 가공 및 저장 처리업"
178,동원개발,건물 건설업
179,동일금속,금속 주조업
180,두산테스나,"그외 기타 전문, 과학 및 기술 서비스업"
181,드래곤플라이,소프트웨어 개발 및 공급업
182,드림시큐리티,소프트웨어 개발 및 공급업
183,드림씨아이에스,자연과학 및 공학 연구개발업
184,디딤,음식점업
185,디모아,기타 전문 도매업
186,디앤씨미디어,"서적, 잡지 및 기타 인쇄물 출판업"
187,디어유,소프트웨어 개발 및 공급업
188,디에스앤엘,무점포 소매업
189,디엑스앤브이엑스,기타 과학기술 서비스업
190,디엔에이링크,자연과학 및 공학 연구개발업
191,디와이디,생활용품 도매업
192,디지캡,소프트웨어 개발 및 공급업
193,디지털대성,일반 교습 학원
194,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
195,디티앤씨,기타 과학기술 서비스업
196,딥노이드,소프트웨어 개발 및 공급업
197,라온시큐어,소프트웨어 개발 및 공급업
198,라온피플,소프트웨어 개발 및 공급업
199,라이프시맨틱스,소프트웨어 개발 및 공급업
200,래몽래인,"영화, 비디오물, 방송프로그램 제작 및 배급업"
201,랩지노믹스,자연과학 및 공학 연구개발업
202,레드로버,"영화, 비디오물, 방송프로그램 제작 및 배급업"
203,레드캡투어,여행사 및 기타 여행보조 서비스업
204,로스웰,기타 금융업
205,로지시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
206,루닛,소프트웨어 개발 및 공급업
207,룽투코리아,소프트웨어 개발 및 공급업
208,리노스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
209,리드코프,기타 전문 도매업
210,리파인,기타 정보 서비스업
211,린드먼아시아,신탁업 및 집합투자업
212,링네트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
213,링크제니시스,소프트웨어 개발 및 공급업
214,마니커에프앤지,"도축, 육류 가공 및 저장 처리업"
215,마인즈랩,소프트웨어 개발 및 공급업
216,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업"
217,매커스,기계장비 및 관련 물품 도매업
218,맥스트,소프트웨어 개발 및 공급업
219,메가스터디,"서적, 잡지 및 기타 인쇄물 출판업"
220,메가엠디,일반 교습 학원
221,메디콕스,선박 및 보트 건조업
222,메디프론,기계장비 및 관련 물품 도매업
223,모다이노칩,"섬유, 의복, 신발 및 가죽제품 소매업"
224,모두투어,여행사 및 기타 여행보조 서비스업
225,모바일리더,소프트웨어 개발 및 공급업
226,모바일어플라이언스,소프트웨어 개발 및 공급업
227,모비데이즈,광고업
228,모비릭스,소프트웨어 개발 및 공급업
229,모비스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
230,모아데이타,소프트웨어 개발 및 공급업
231,미디어젠,소프트웨어 개발 및 공급업
232,미래에셋대우스팩5호,금융 지원 서비스업
233,미래에셋벤처투자,기타 금융업
234,미래에셋비전스팩1호,금융 지원 서비스업
235,미스터블루,기타 정보 서비스업
236,미투온,소프트웨어 개발 및 공급업
237,미투젠,소프트웨어 개발 및 공급업
238,바른손,생활용품 도매업
239,바른손이앤에이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
240,바이브컴퍼니,소프트웨어 개발 및 공급업
241,바이오톡스텍,자연과학 및 공학 연구개발업
242,바이온,음·식료품 및 담배 도매업
243,바이젠셀,자연과학 및 공학 연구개발업
244,박셀바이오,자연과학 및 공학 연구개발업
245,버킷스튜디오,전기 통신업
246,베노홀딩스,실내건축 및 건축마무리 공사업
247,베뉴지,종합 소매업
248,베스파,소프트웨어 개발 및 공급업
249,보라티알,음·식료품 및 담배 도매업
250,부방,기타 금융업
251,뷰노,소프트웨어 개발 및 공급업
252,브랜드엑스코퍼레이션,기타 정보 서비스업
253,브레인즈컴퍼니,소프트웨어 개발 및 공급업
254,브리지텍,소프트웨어 개발 및 공급업
255,비엘,자연과학 및 공학 연구개발업
256,비엘팜텍,음·식료품 및 담배 도매업
257,비즈니스온,소프트웨어 개발 및 공급업
258,비츠로테크,기타 금융업
259,비투엔,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
260,비트나인,소프트웨어 개발 및 공급업
261,비트컴퓨터,소프트웨어 개발 및 공급업
262,비플라이소프트,소프트웨어 개발 및 공급업
263,삼성머스트스팩5호,금융 지원 서비스업
264,삼성스팩4호,금융 지원 서비스업
265,삼성스팩6호,금융 지원 서비스업
266,삼일,도로 화물 운송업
267,삼일기업공사,건물 건설업
268,삼천리자전거,생활용품 도매업
